Epoch, Loss,Clean_Accuracy_no,Clean_Accuracy,Backdoor_Accuracy_no,Backdoor_Accuracy
5, 9.995412, 0.666667,0.666667,1.000000, 1.000000
10, 3.495302, 0.666667,0.730159,1.000000, 1.000000
15, 7.435693, 0.682540,0.492063,1.000000, 0.333333
20, 4.932917, 0.666667,0.682540,1.000000, 0.857143
25, 11.378057, 0.698413,0.380952,1.000000, 0.619048
30, 5.852447, 0.714286,0.365079,1.000000, 0.666667
35, 3.306617, 0.698413,0.365079,1.000000, 0.333333
40, 4.888564, 0.714286,0.365079,1.000000, 0.380952
45, 2.437153, 0.730159,0.380952,1.000000, 0.714286
50, 15.145785, 0.746032,0.396825,1.000000, 0.904762
55, 8.559374, 0.746032,0.412698,1.000000, 0.761905
60, 12.673779, 0.730159,0.428571,1.000000, 0.761905
65, 21.725458, 0.746032,0.396825,1.000000, 0.904762
70, 11.131798, 0.746032,0.380952,1.000000, 0.809524
75, 13.023082, 0.746032,0.365079,1.000000, 0.904762
80, 12.194822, 0.730159,0.396825,1.000000, 0.952381
85, 14.499715, 0.746032,0.365079,1.000000, 0.809524
90, 7.769064, 0.746032,0.365079,1.000000, 0.809524
95, 3.679274, 0.761905,0.349206,1.000000, 0.857143
100, 12.935038, 0.746032,0.349206,1.000000, 0.904762
105, 7.521389, 0.730159,0.349206,1.000000, 0.857143
110, 11.032208, 0.746032,0.349206,1.000000, 0.809524
115, 6.068513, 0.714286,0.349206,1.000000, 0.857143
120, 7.670617, 0.761905,0.349206,1.000000, 0.857143
125, 11.166307, 0.746032,0.349206,1.000000, 0.857143
